SAP ID,Attendance,First Seen,Last Seen
70321019007_1,1,2025-04-07 12:31:16,2025-04-07 12:32:39
70321019023_1,1,2025-04-07 12:31:19,2025-04-07 12:33:21
70321019022_1,1,2025-04-07 12:31:21,2025-04-07 12:32:50
70321019020_1,1,2025-04-07 12:31:26,2025-04-07 12:32:51
70321019060_1,1,2025-04-07 12:31:57,2025-04-07 12:32:38
70321019003_1,1,2025-04-07 12:32:10,2025-04-07 12:32:10
70321019016_1,1,2025-04-07 12:32:11,2025-04-07 12:32:51
70321019054_1,1,2025-04-07 12:32:16,2025-04-07 12:32:40
70321019028_1,1,2025-04-07 12:32:16,2025-04-07 12:32:16
70321019050_1,1,2025-04-07 12:32:19,2025-04-07 12:32:19
70321019043_1,1,2025-04-07 12:32:24,2025-04-07 12:32:24
70321019009_1,1,2025-04-07 12:32:29,2025-04-07 12:32:46
70321019037_1,1,2025-04-07 12:32:37,2025-04-07 12:32:57
70321019035_1,1,2025-04-07 12:32:55,2025-04-07 12:32:56
70321019011_1,1,2025-04-07 12:33:11,2025-04-07 12:33:11
